Originator,Quote,Wikilink,ID
"Oscar Wilde","To live is the rarest thing in the world. Most people exist, that is all","https://en.wikipedia.org/wiki/Oscar_Wilde","1"
"George Eliot","It is never too late to be what you might have been","https://en.wikipedia.org/wiki/George_Eliot","2"
"Ralph Waldo Emerson","To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment","https://en.wikipedia.org/wiki/Ralph_Waldo_Emerson","3"
"Voltaire","Appreciation is a wonderful thing. It makes what is excellent in others belong to us as well.","https://en.wikipedia.org/wiki/Voltaire","4"
"Stephen King","Amateurs sit and wait for inspiration, the rest of us just get up and go to work","https://en.wikipedia.org/wiki/Stephen_King","5"
"Herman Melville","To produce a mighty book, you must choose a mighty theme","https://en.wikipedia.org/wiki/Herman_Melville","6"
"John Steinbeck","Ideas are like rabbits. You get a couple and learn how to handle them, and pretty soon you have a dozen","https://en.wikipedia.org/wiki/John_Steinbeck","7"
"Albert Camus","The purpose of a writer is to keep civilization from destroying itself","https://en.wikipedia.org/wiki/Albert_Camus","8"
"Pierre Vallström","A problemsolver never has a vacation. For a problemsolvers life consists of either solving problems or thinking about solving problems","https://www.rockthemsocks.net","9"
"Friedrich Nietzsche","A good writer possesses not only his own spirit but also the spirit of his friends","https://en.wikipedia.org/wiki/Friedrich_Nietzsche","10"
"Mark Twain","Focus more on your desire than on your doubt, and the dream will take care of itself","https://en.wikipedia.org/wiki/Mark_Twain","11"
"Virginia Woolf","You cannot find peace by avoiding life","https://en.wikipedia.org/wiki/Virginia_Woolf","12"
"Mark Twain","Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great","https://en.wikipedia.org/wiki/Mark_Twain","13"
"Alice Walker","The most common way people give up their power is by thinking they don't have any","https://en.wikipedia.org/wiki/Alice_Walker","14"
"Aristotle","We are what we repeatedly do. Excellence, then, is not an act, but a habit","https://en.wikipedia.org/wiki/Aristotle","15"
"Albert Einstein","Strive not to be a success, but rather to be of value","https://en.wikipedia.org/wiki/Albert_Einstein","16"
"Amelia Earhart","The most difficult thing is the decision to act, the rest is merely tenacity","https://en.wikipedia.org/wiki/Amelia_Earhart","17"
"Kevin Kruse","Life isn't about getting and having, it's about giving and being","https://en.wikipedia.org/wiki/Kevin_M._Kruse","18"
"Charles Swindoll","Life is 10% what happens to me and 90% of how I react to it","https://en.wikipedia.org/wiki/Chuck_Swindoll","19"
"Buddha","The mind is everything. What you think you become.","https://en.wikipedia.org/wiki/The_Buddha","20"
"Steve Jobs","Your time is limited, so don’t waste it living someone else’s life","https://en.wikipedia.org/wiki/Steve_Jobs","21"
"Stephen Covey","I am not a product of my circumstances. I am a product of my decisions","https://en.wikipedia.org/wiki/Stephen_Covey","22"
"Christopher Columbus","You can never cross the ocean until you have the courage to lose sight of the shore","https://en.wikipedia.org/wiki/Christopher_Columbus","23"
"Henry Ford","Whether you think you can or you think you can’t, you’re right","https://en.wikipedia.org/wiki/Henry_Ford","24"
"Zig Ziglar","People often say that motivation doesn’t last. Well, neither does bathing.  That’s why we recommend it daily","https://en.wikipedia.org/wiki/Zig_Ziglar","25"
"Aristotle","There is only one way to avoid criticism: do nothing, say nothing, and be nothing","https://en.wikipedia.org/wiki/Aristotle","26"
"Ralph Waldo Emerson","The only person you are destined to become is the person you decide to be","https://en.wikipedia.org/wiki/Ralph_Waldo_Emerson","27"
"Henry David Thoreau","Go confidently in the direction of your dreams.  Live the life you have imagined","https://en.wikipedia.org/wiki/Henry_David_Thoreau","28"
"Theodore Roosevelt","Believe you can and you’re halfway there","https://en.wikipedia.org/wiki/Theodore_Roosevelt","29"
"George Adair","Everything you’ve ever wanted is on the other side of fear","https://en.wikipedia.org/wiki/George_Adair","30"
"Yoda","Do or do not. There is no try","https://en.wikipedia.org/wiki/Yoda","31"
"Ayn Rand","The question isn't who is going to let me; it's who is going to stop me","https://en.wikipedia.org/wiki/Ayn_Rand","32"
"Muhammad Ali","Don’t count the days, make the days count","https://en.wikipedia.org/wiki/Muhammad_Ali","33"
"George Horace Lorimer","You’ve got to get up every morning with determination if you’re going to go to bed with satisfaction","https://en.wikipedia.org/wiki/George_Horace_Lorimer","34"
"Janet Dailey","Someday is not a day of the week","https://en.wikipedia.org/wiki/Janet_Dailey","35"
"Madam C. J. Walker","Don’t sit down and wait for the opportunities to come. Get up and make them","https://en.wikipedia.org/wiki/Madam_C._J._Walker","36"
"Karen E. Quinones Miller","When someone tells me ‘no,’ it doesn’t mean I can’t do it, it simply means I can’t do it with them","https://en.wikipedia.org/wiki/Karen_E._Quinones_Miller","37"
"Maya Angelou","You may not control all the events that happen to you, but you can decide not to be reduced by them","https://en.wikipedia.org/wiki/Maya_Angelou","38"
"Brandon Sanderson","The most important step a man can take. It's not the first one, is it? It's the next one. Always the next step","https://en.wikipedia.org/wiki/Brandon_Sanderson","39"
"Albert Einstein","Your imagination is your preview of life’s coming attractions","https://en.wikipedia.org/wiki/Albert_Einstein","40"
"Mario Andretti","If everything seems under control, you’re not going fast enough","https://en.wikipedia.org/wiki/Mario_Andretti","41"
"Colin McRae","When in doubt, flat out","https://en.wikipedia.org/wiki/Colin_McRae","42"
